Date,Open,High,Low,Close,Volume
8/12/2013,107.61,107.63,106.47,106.53,7562770
8/13/2013,105.33,105.36,104.8,104.99,11485791
8/14/2013,104.94,105.36,104.87,105.15,6433480
8/15/2013,104.1,104.63,103.69,103.73,11847509
8/16/2013,103.96,103.97,102.67,103.37,10176453
8/19/2013,102.93,103.01,102.21,102.47,9022473
8/20/2013,102.89,103.36,102.85,103.26,10050089
8/21/2013,102.77,103.2,102.11,102.13,13250259
8/22/2013,102.46,103.23,102.24,103.17,8751942
8/23/2013,103.01,104.39,102.74,104.29,17441180
8/26/2013,104.56,104.89,104.33,104.81,5886443
8/27/2013,105.29,106.25,105.04,106.13,11573243
8/28/2013,105.41,105.57,104.94,105.27,7498069
8/29/2013,104.88,106.31,104.79,106.11,6672433
8/30/2013,106.02,106.68,105.74,105.99,8988000
9/3/2013,104.59,104.67,103.51,104.22,12084368
9/4/2013,104.45,104.65,103.95,103.99,4579633
9/5/2013,103.47,103.6,102.53,102.54,12290993
9/6/2013,103.25,103.82,102.81,103.05,9478829
9/9/2013,103.8,103.81,103.08,103.1,6875104
9/10/2013,102.73,103.34,102.37,102.38,8071190
9/11/2013,102.92,103.31,102.19,103.29,8963540
9/12/2013,103.85,104,103.06,103.15,6254696
9/13/2013,103.51,103.83,103.23,103.55,6107612
9/16/2013,104.33,104.41,102.85,102.86,8737467
9/17/2013,103.37,103.74,102.97,103.71,8795570
9/18/2013,103.63,105.55,102.98,104.99,19749126
9/19/2013,105.05,105.09,104.16,104.37,11627751
9/20/2013,104.69,105.18,104.45,104.93,8423126
9/23/2013,105.21,105.73,105.11,105.69,10242010
9/24/2013,105.99,106.84,105.85,106.83,11447619
9/25/2013,106.54,107.28,106.39,107.05,8130878
9/26/2013,106.48,106.62,106.19,106.3,5117071
9/27/2013,106.29,106.82,106.25,106.56,6461748
9/30/2013,106.66,106.9,106.18,106.4,8439805
10/1/2013,105.9,106.03,105.53,105.8,7593191
10/2/2013,105.93,106.48,105.76,105.96,5967420
10/3/2013,105.75,106.41,105.7,105.79,6649297
10/4/2013,105.67,105.78,105.35,105.71,5547172
10/7/2013,106.2,106.36,105.98,106.14,5761236
10/8/2013,105.98,106.51,105.83,106.17,5904709
10/9/2013,105.87,105.94,105.3,105.32,8439196
10/10/2013,104.8,105.53,104.51,105.49,9946474
